replicate,T_K,T_C,ErrEqAb,overlap,jaccard,shannon_mi,shannon_lv,bray_curtis,stab_glv,stab_mi,abs_stab_err,react_glv,react_mi,abs_react_err,tau_C,tau_R,epsilon,t_eq_mi,log10_eps_t_eq,hessian_norm,non_normality
4,297.15,24,1.283395129,5,1,0.255112815,0.255161704,9.92E-06,(-1.7683357182056691e-09+0j),(0.3546664512424408+0j),0.354666453,0.042144866,46.59570329,46.55355842,0.092214268,0.079346004,1.162179107,939.6984925,-2.907715466,6.78E-07,27997.58814
4,299.15,26,9.72E-07,5,1,1.36257317,1.362573524,3.64E-06,(-0.004238377793970162+0j),(0.9398185132007375+0j),0.944056891,0.01052661,2.459067661,2.448541051,0.227552584,0.331142414,0.687174382,613.0653266,-2.950439793,6.82E-06,186.3409291
4,301.15,28,0.676382837,3,1,0.403737497,0.403799111,8.09E-06,(-4.703650183350554e-07+0j),(1.3373459148854707+0j),1.337346385,0.084391374,10.89817876,10.81378739,0.160448259,0.230771918,0.69526769,914.5728643,-3.119066264,1.04E-05,1887.791721
4,303.15,30,-2.08E-10,2,1,0.230230325,0.230230327,2.34E-09,(0.0003476882600822702+0j),(1.1624959642399413+0j),1.162148276,0.003899501,2.772748387,2.768848887,0.080382663,0.617817906,0.13010737,80.40201005,-2.790965008,6.97E-05,206.7462304
4,305.15,32,0.001197014,5,0.833333333,1.035290843,1.035437062,8.85E-05,(-0.0042487142442913985+0j),(1.3322533937844674+0j),1.336502108,0.053061806,11.20250846,11.14944665,0.101945005,0.116254249,0.876914229,1000,-3.057042883,6.48E-06,2600.955987
4,307.15,34,0.136778508,6,1,0.939408299,0.945881162,0.001319704,(-7.44578081098745e-07+0j),(0.7252562869463701+0j),0.725257032,0.174077342,2.024435001,1.850357659,0.05742739,0.374524606,0.15333409,1000,-3.81436128,0.000107811,214.388996
4,309.15,36,-7.63E-09,4,1,0.341580803,0.341580806,4.06E-09,(-0.0006969990400056273+0j),(2.410003572109543+0j),2.410700571,0.027406854,2.611301844,2.58389499,0.043389677,0.619187057,0.070075232,216.080402,-3.489050834,0.000329553,125.0889975
4,311.15,38,0.214740258,4,1,0.295139959,0.295143812,2.18E-07,(-3.325371966535405e-10+0j),(0.5892613181515921+0j),0.589261318,0.0317191,32.66293303,32.63121394,0.020856617,0.095504586,0.218383411,809.0452261,-3.568753155,3.50E-05,19008.84307
4,313.15,40,0.001564816,1,0.5,0.664814538,3.13E-08,0.236202128,(0.0009424357198024925+0j),(0.6923490538127668+0j),0.691406618,0.000983038,19.29078386,19.28980082,0.069920975,0.321730156,0.217328013,256.281407,-3.07160139,2.66E-05,5754.334628
5,283.15,10,0.177395765,8,1,1.257203323,1.260211927,0.001351828,(-5.761550679457154e-09+0j),(0.0752715480189767+0j),0.075271554,0.015843122,2.078086856,2.062243734,1.369496247,0.581192729,2.356354748,1000,-2.627759326,1.85E-07,104.3684406
5,285.15,12,2.39E-06,3,1,1.085963466,1.085967065,1.07E-05,(-0.005255230336833151+0j),(0.08282776820095644+0j),0.088082999,-0.005117696,3.554690959,3.559808654,2.435204303,0.529344874,4.600411609,804.0201005,-2.242470216,1.88E-07,286.5590006
5,287.15,14,8.93E-05,4,1,1.248949267,1.249056132,0.000226525,(-0.001605438084532181+0j),(0.10144621942313678+0j),0.103051658,-0.001415061,2.172688553,2.174103614,1.519716965,0.554969501,2.738379249,1000,-2.562506405,3.52E-07,114.5652946
5,289.15,16,0.146810697,5,1,1.205665778,1.205571273,0.000124143,(-1.3950345542606014e-08+0j),(0.06432764507679936+0j),0.064327659,0.002787183,0.854451808,0.851664625,0.797136651,0.747317474,1.066664006,1000,-2.97197236,9.51E-07,34.72599099
5,291.15,18,-0.002129926,6,1,1.694500738,1.69368743,0.00039008,(-0.007709621898519129+0j),(0.24753097366421872+0j),0.255240596,0.000818965,1.42041132,1.419592355,0.455296591,0.41873689,1.08730948,1000,-2.963646825,8.17E-07,78.71143443
5,293.15,20,2.86E-06,4,1,0.953516145,0.953517873,1.00E-06,(-0.004970065851799106+0j),(0.4416802807419642+0j),0.446650347,0.00588082,1.967045126,1.961164306,0.843405305,0.50765373,1.661379116,638.1909548,-2.584481898,2.00E-06,130.8364956
5,295.15,22,0.409760985,3,1,0.489138543,0.493191055,0.000578175,(-0.0002446769040639513+0j),(0.4197539083023399+0j),0.419998585,0.124766154,15.40061541,15.27584926,0.20153791,0.268257223,0.751286051,1000,-3.124194674,1.02E-06,4441.665703
5,297.15,24,2.76E-07,4,1,0.975573917,0.975581069,5.30E-06,(-0.005992329648215047+0j),(0.330300074322407+0j),0.336292404,-0.002696859,23.42196926,23.42466612,0.174251547,0.261190004,0.667144778,422.1105528,-2.801206119,1.17E-06,9190.391358
5,299.15,26,0.100533744,7,1,1.490059309,1.490319276,2.76E-05,(-3.993806093393003e-06+0j),(0.965663699200149+0j),0.965667693,0.010723808,2.484046842,2.473323035,0.227797484,0.350228431,0.650425448,1000,-3.186802475,6.26E-06,188.9688433
5,301.15,28,0.006801165,3,1,0.08006593,0.080645583,0.000167598,(-0.007593410394562348+0j),(1.175924642964552+0j),1.183518053,0.232818396,12.88560258,12.65278418,0.158977183,0.428064016,0.371386467,1000,-3.430173926,1.36E-05,1952.728246
5,303.15,30,2.58E-09,1,1,5.42E-10,-2.92E-11,1.30E-09,(0.0007037011200596889+0j),(1.252683433395978+0j),1.251979732,0.000703701,3.258441274,3.257737572,0.080098534,0.730423336,0.109660426,170.8542714,-3.192575912,0.000100964,220.7388387
5,305.15,32,-7.36E-07,5,1,1.293946419,1.293947455,1.40E-06,(-0.0029625125955912907+0j),(2.2033263715442373+0j),2.206288884,-0.001516961,6.244304534,6.245821495,0.101921357,0.216529357,0.470704566,597.9899497,-3.103945474,3.55E-05,845.5660164
5,307.15,34,3.51E-09,3,1,0.732242074,0.732242079,7.58E-10,(-0.0003176762133130285+0j),(0.6299395176791439+0j),0.630257194,9.26E-05,2.357464384,2.357371748,0.057417423,0.378052299,0.151876931,482.4120603,-3.501926345,0.000155473,208.9224532
5,309.15,36,-5.24E-08,4,1,0.678728679,0.678728496,1.70E-07,(-0.0006071599245534465+0j),(2.951602430318498+0j),2.95220959,0.005008747,3.223571581,3.218562834,0.044816457,0.245412174,0.182617088,256.281407,-3.147175687,0.00037105,117.0449162
5,311.15,38,3.94E-08,2,1,0.573950552,0.573950628,8.48E-08,(-0.002641427904804483+0j),(1.5406508844223823+0j),1.543292312,-0.002289682,36.60300724,36.60529692,0.0208423,0.109529534,0.190289318,241.2060302,-3.10297375,6.49E-05,17848.23703
5,313.15,40,5.31E-13,2,1,0.643863873,0.643863872,3.49E-11,(-0.00021295773579078738+0j),(1.0423153326996974+0j),1.04252829,-1.35E-05,8.652052211,8.652065754,0.069852395,0.387267431,0.1803725,201.0050251,-3.04703659,2.65E-05,1723.708702
6,283.15,10,0.533616484,7,1,0.978322755,0.989120921,0.003346833,(-2.202271616054605e-08+0j),(0.07529350114522369+0j),0.075293523,0.020338477,2.262262667,2.24192419,1.343665833,0.541321205,2.48219693,1000,-2.605163766,1.84E-07,122.417105
6,285.15,12,0.371468372,4,1,1.039467566,1.0370762,0.002673589,(-1.577028434738173e-08+0j),(0.08361810595450882+0j),0.083618122,0.010252773,2.137597297,2.127344524,2.41013924,0.500444423,4.815997798,1000,-2.31731372,2.12E-07,134.5569728
6,287.15,14,5.45E-05,4,1,1.220239617,1.22027478,4.78E-05,(-0.000895288993547743+0j),(0.1183573813942996+0j),0.11925267,-0.000570552,2.250532669,2.25110322,1.467243386,0.426312322,3.441710013,1000,-2.463225725,3.19E-07,121.9169387
6,289.15,16,0.115683304,6,1,1.414694758,1.426492405,0.026083144,(-1.078390191805213e-06+0j),(0.07711586053530274+0j),0.077116939,0.003051194,0.979560674,0.97650948,0.69051269,0.623363146,1.10772139,1000,-2.955569458,7.88E-07,44.33915043
6,291.15,18,0.013551522,6,1,1.426422279,1.426537395,8.05E-05,(-1.336543184922657e-07+0j),(0.2511201197959536+0j),0.251120253,0.032307027,1.764488085,1.732181058,0.420967153,0.370782456,1.135348091,1000,-2.944870966,7.31E-07,99.30823537
6,293.15,20,0.109860041,4,1,0.483121047,0.486952191,0.000840566,(-0.00033552582167691177+0j),(0.5270469911689057+0j),0.527382517,0.034718766,2.457411482,2.422692716,0.64483235,0.596624797,1.080800452,1000,-2.966254482,3.32E-06,147.991283
6,295.15,22,1.33E-10,2,1,0.282651917,0.282651917,1.10E-09,(-0.016561146256480364+0j),(0.5306510871009+0j),0.547212233,-0.001836615,17.91792505,17.91976166,0.200095451,0.249414326,0.802261258,316.5829146,-2.596171653,1.62E-06,4688.535454
6,297.15,24,0.000343846,5,1,0.594128908,0.594236256,4.98E-05,(-0.0004356879305784191+0j),(0.393041485712831+0j),0.393477174,0.036380374,36.21195399,36.17557362,0.135771481,0.219606429,0.618249117,708.5427136,-3.059202532,9.55E-07,16473.61805
6,299.15,26,0.189451133,5,1,1.081384772,1.081397173,4.06E-06,(-2.9091054607829694e-07+0j),(0.9016673034415624+0j),0.901667594,0.059616669,3.763608056,3.703991386,0.228648397,0.364937961,0.626540456,874.3718593,-3.144747053,6.42E-06,315.7634001
6,301.15,28,6.09E-09,3,1,0.714505941,0.714505982,4.09E-08,(-0.013074349415130821+0j),(1.243798059850221+0j),1.256872409,0.014365528,8.230444169,8.216078642,0.159705733,0.33522761,0.476409844,211.0552764,-2.646415487,9.24E-06,1210.789277
6,303.15,30,0.207103017,1,0.333333333,0.362378145,0.678091849,0.811164168,(0.009198788000638027+0j),(2.0550456516855347+0j),2.045846864,0.010370899,2.500691515,2.490320617,0.081747457,0.731202493,0.111798658,447.2361809,-3.602100339,8.48E-05,273.9675057
6,305.15,32,-2.65E-07,5,1,1.514320572,1.514328396,1.25E-05,(-0.0015700456019923919+0j),(1.1408803550627549+0j),1.142450401,-0.001320149,15.57318465,15.5745048,0.10198,0.114614239,0.889767283,914.5728643,-3.011941879,6.48E-06,4263.835062
6,307.15,34,-2.64E-06,3,1,0.711141787,0.711140453,6.36E-07,(-0.00041299608666949515+0j),(0.6855724989702626+0j),0.685985495,4.08E-05,2.297981755,2.297940928,0.057460944,0.756648176,0.075941429,653.2663317,-3.934611512,0.000159931,208.8902316
6,309.15,36,-3.444832758,2,0.5,0.244818134,0.626657335,0.881244197,(0.0007835323255525998+0j),(1.6152583759104548+0j),1.614474844,0.003087515,1.785918545,1.782831029,0.045019344,6.407419463,0.007026127,145.7286432,-4.316828918,0.000338081,157.2225287
6,311.15,38,4.33E-08,3,1,0.339302027,0.339302051,1.07E-08,(-0.0009134418653374154+0j),(0.3946971370320111+0j),0.395610579,0.019617408,40.23204032,40.21242291,0.020856888,0.073726323,0.282896086,316.5829146,-3.048860534,1.22E-05,23069.32188
6,313.15,40,2.67E-11,2,1,0.691828272,0.691828269,8.54E-11,(-0.00047165244589460583+0j),(0.45221736964745135+0j),0.452689022,-0.000381744,13.43072415,13.4311059,0.069818919,0.237869499,0.293517747,190.9547739,-2.813296155,2.81E-05,3781.582743
7,283.15,10,0.417626717,7,1,1.000473985,1.001200085,0.000145131,(-2.3903285444403297e-08+0j),(0.06392728585118523+0j),0.06392731,0.019808684,2.135941454,2.11613277,1.351376905,0.700219592,1.92993301,1000,-2.714457766,1.78E-07,97.99524209
7,285.15,12,0.418258271,4,1,1.043814293,1.04298869,0.000918688,(-1.1676079503665155e-09+0j),(0.06418078370220133+0j),0.064180785,0.009230406,2.112084135,2.102853729,2.397209306,0.538153547,4.454508048,1000,-2.351200252,2.20E-07,119.5719032
7,287.15,14,0.0002059,4,1,1.309064342,1.309212022,0.000142358,(-0.002299123597019186+0j),(0.092712326644182+0j),0.09501145,-0.002273688,1.677937879,1.680211567,1.502342045,0.499602122,3.007076989,1000,-2.521855453,3.62E-07,92.60102172
7,289.15,16,-0.000958756,5,1,1.554115458,1.554466897,0.002283509,(-9.694019038648772e-11+0j),(0.03574060377474521+0j),0.035740604,0.002173993,1.344427168,1.342253176,0.68600871,0.637036534,1.076874988,1000,-2.96783471,4.51E-07,59.74226259
7,291.15,18,-0.008403969,6,1,1.621869294,1.617591232,0.006336769,(-0.009167353040853874+0j),(0.2285922005262814+0j),0.237759554,0.004429438,1.123317959,1.11888852,0.468872971,0.35137293,1.334402654,1000,-2.874713103,7.56E-07,57.09619159
7,293.15,20,-8.51E-07,3,1,0.701169124,0.701168443,1.02E-06,(-0.00757326222063967+0j),(0.6430202116731458+0j),0.650593474,0.001512664,2.337213279,2.335700615,0.834296198,0.537859097,1.551142675,763.8190955,-2.692338765,2.20E-06,140.2089577
7,295.15,22,0.070041193,2,1,0.05597218,0.062856836,0.001562823,(-0.013957770839941033+0j),(0.4045426536710129+0j),0.418500425,0.14071942,19.2782186,19.13749918,0.167626453,0.158867589,1.055133108,1000,-2.97669275,1.05E-06,5423.934923
