replicate,T_K,T_C,t_eq,ErrTraj,t_eq_mi,T_bin_K
11,297.15,24,1000.0,0.342454497,1000.0,295.15
11,299.15,26,1000.0,0.073724854,1000.0,299.15
11,301.15,28,407.0351759,0.815345613,150.7537688,299.15
11,303.15,30,306.5326633,2.125493687,301.5075377,303.15
11,305.15,32,1000.0,0.073054538,1000.0,303.15
11,307.15,34,1000.0,0.084842212,1000.0,307.15
11,309.15,36,633.1658291,-2.357395244,170.8542714,307.15
11,311.15,38,1000.0,1.116252468,929.6482412,311.15
11,313.15,40,251.2562814,0.018392456,251.2562814,311.15
12,283.15,10,1000.0,0.529108571,1000.0,283.15
12,285.15,12,1000.0,0.713741609,1000.0,283.15
12,287.15,14,1000.0,0.145499495,1000.0,287.15
12,289.15,16,1000.0,0.2603844,1000.0,287.15
12,291.15,18,1000.0,0.01284278,1000.0,291.15
12,293.15,20,1000.0,0.392740751,1000.0,291.15
12,295.15,22,778.8944724,1.297446342,592.9648241,295.15
12,297.15,24,1000.0,-0.159281167,773.8693467,295.15
12,299.15,26,1000.0,0.195686243,1000.0,299.15
12,301.15,28,542.7135678,0.657124818,211.0552764,299.15
12,303.15,30,1000.0,-2.715304126,758.7939698,303.15
12,305.15,32,1000.0,-0.090420548,939.6984925,303.15
12,307.15,34,316.5829146,0.576567144,276.3819095,307.15
12,309.15,36,316.5829146,0.200850694,145.7286432,307.15
12,311.15,38,326.6331658,0.198729647,236.1809045,311.15
12,313.15,40,251.2562814,0.007508407,251.2562814,311.15
13,283.15,10,1000.0,0.288746256,1000.0,283.15
13,285.15,12,1000.0,0.529112594,824.120603,283.15
13,287.15,14,1000.0,0.171656856,1000.0,287.15
13,289.15,16,1000.0,0.297490578,1000.0,287.15
13,291.15,18,1000.0,0.025919237,1000.0,291.15
13,293.15,20,1000.0,0.514660153,1000.0,291.15
13,295.15,22,442.2110553,1.711989673,386.9346734,295.15
13,297.15,24,1000.0,-0.694558409,1000.0,295.15
13,299.15,26,1000.0,0.265634852,1000.0,299.15
13,301.15,28,381.9095477,0.733250575,276.3819095,299.15
13,303.15,30,1000.0,0.076612287,105.5276382,303.15
13,305.15,32,1000.0,-0.022339982,1000.0,303.15
13,307.15,34,1000.0,0.242324571,1000.0,307.15
13,309.15,36,663.3165829,-0.029072858,105.5276382,307.15
13,311.15,38,959.798995,0.010953042,427.1356784,311.15
13,313.15,40,266.3316583,0.013787754,266.3316583,311.15
14,283.15,10,1000.0,0.712460012,1000.0,283.15
14,285.15,12,1000.0,0.147903797,849.2462312,283.15
14,287.15,14,1000.0,0.436134582,773.8693467,287.15
14,289.15,16,1000.0,0.068892983,1000.0,287.15
14,291.15,18,1000.0,0.072733836,1000.0,291.15
14,293.15,20,1000.0,1.940509738,1000.0,291.15
14,295.15,22,1000.0,0.618549863,879.3969849,295.15
14,297.15,24,1000.0,0.17005635,814.0703518,295.15
14,299.15,26,1000.0,0.134941127,1000.0,299.15
14,301.15,28,1000.0,0.837422923,1000.0,299.15
14,303.15,30,125.6281407,0.701660125,60.30150754,303.15
14,305.15,32,1000.0,0.100268499,1000.0,303.15
14,307.15,34,226.1306533,0.282199357,190.9547739,307.15
14,309.15,36,442.2110553,-0.008403665,160.8040201,307.15
14,311.15,38,1000.0,-2.025627879,386.9346734,311.15
14,313.15,40,256.281407,0.040752668,256.281407,311.15
15,283.15,10,1000.0,0.465989227,1000.0,283.15
15,285.15,12,1000.0,0.311761901,1000.0,283.15
15,287.15,14,1000.0,0.195956052,1000.0,287.15
15,289.15,16,1000.0,0.015937403,1000.0,287.15
15,291.15,18,1000.0,0.17506873,1000.0,291.15
15,293.15,20,738.6934673,0.213085579,447.2361809,291.15
15,295.15,22,1000.0,0.522279626,668.3417085,295.15
15,297.15,24,1000.0,0.486829002,1000.0,295.15
15,299.15,26,577.8894472,0.492878979,507.5376884,299.15
15,301.15,28,577.8894472,0.168511486,306.5326633,299.15
15,303.15,30,1000.0,-0.463767389,90.45226131,303.15
15,305.15,32,1000.0,-0.052153916,1000.0,303.15
15,307.15,34,638.1909548,0.45794009,567.839196,307.15
15,309.15,36,231.1557789,0.04072316,85.42713568,307.15
15,311.15,38,954.7738693,0.078603237,422.1105528,311.15
15,313.15,40,190.9547739,0.020994499,190.9547739,311.15
16,283.15,10,1000.0,0.912025122,1000.0,283.15
16,285.15,12,1000.0,0.694363678,1000.0,283.15
