replicate,T_K,T_C,t_eq,ErrTraj,t_eq_mi
24,293.15,20.0,1000.0,0.020622673204810347,1000.0
24,295.15,22.0,1000.0,0.42473730756459,738.6934673366835
24,297.15,24.0,1000.0,1.1038885897309498,1000.0
24,299.15,26.0,819.0954773869347,0.0836502903575352,763.819095477387
24,301.15,28.0,1000.0,0.21980158438433334,1000.0
24,303.15,30.0,170.85427135678393,-1.3671510210138798,170.85427135678393
24,305.15,32.0,1000.0,-0.0393402810412189,874.3718592964825
24,307.15,34.0,547.7386934673367,0.5471309151187145,472.36180904522615
24,309.15,36.0,1000.0,-0.01118426717947575,140.7035175879397
24,311.15,38.0,487.4371859296483,0.09634400203184366,251.2562814070352
24,313.15,40.0,1000.0,0.16359678383455062,306.53266331658295
25,283.15,10.0,1000.0,0.2982706479677445,1000.0
25,285.15,12.0,1000.0,0.11838744044326387,1000.0
25,287.15,14.0,1000.0,0.15844486764633084,743.7185929648242
25,289.15,16.0,1000.0,0.4531884326641896,954.7738693467337
25,291.15,18.0,1000.0,0.0418900815876866,1000.0
25,293.15,20.0,703.5175879396985,0.27569922093087224,542.713567839196
25,295.15,22.0,1000.0,0.2816045379418363,1000.0
25,297.15,24.0,1000.0,1.5571372776493924,864.3216080402011
25,299.15,26.0,643.2160804020101,0.08910035426149404,452.26130653266335
25,301.15,28.0,316.58291457286435,0.45969906550287953,160.80402010050253
25,303.15,30.0,487.4371859296483,0.19484934029840353,65.32663316582915
25,305.15,32.0,1000.0,0.4833089272404579,1000.0
25,307.15,34.0,467.33668341708545,0.16954185357708948,316.58291457286435
25,309.15,36.0,477.38693467336685,0.8396701553454409,231.15577889447238
25,311.15,38.0,1000.0,-0.09743187724149309,824.1206030150754
25,313.15,40.0,266.3316582914573,0.019803390459823496,266.3316582914573
26,283.15,10.0,1000.0,0.31122364112418277,1000.0
26,285.15,12.0,959.7989949748744,0.17488538071491488,708.5427135678393
26,287.15,14.0,1000.0,0.1644237367516668,1000.0
26,289.15,16.0,1000.0,0.4353266842855994,824.1206030150754
26,291.15,18.0,1000.0,0.07186266169608481,1000.0
26,293.15,20.0,1000.0,0.26122821459547435,1000.0
26,295.15,22.0,467.33668341708545,0.15763577084415065,341.70854271356785
26,297.15,24.0,1000.0,0.883542733792191,412.0603015075377
26,299.15,26.0,678.391959798995,0.11232598060064829,407.035175879397
26,301.15,28.0,452.26130653266335,0.49586701000273287,135.678391959799
26,303.15,30.0,467.33668341708545,0.48260754674481127,100.50251256281408
26,305.15,32.0,623.1155778894473,0.005478196565087101,577.8894472361809
26,307.15,34.0,954.7738693467337,0.12219969977484393,552.7638190954774
26,309.15,36.0,758.7939698492463,0.3683798859750622,170.85427135678393
26,311.15,38.0,412.0603015075377,0.09490519173270627,276.3819095477387
26,313.15,40.0,256.2814070351759,0.02953160257801145,256.2814070351759
27,283.15,10.0,1000.0,0.4870459858894277,1000.0
27,285.15,12.0,949.748743718593,0.3477428643080548,582.9145728643217
27,287.15,14.0,1000.0,0.06319009847798139,1000.0
27,289.15,16.0,1000.0,0.3534164867340028,1000.0
27,291.15,18.0,1000.0,0.16560361498170034,1000.0
27,293.15,20.0,824.1206030150754,0.8452758446963412,658.2914572864322
27,295.15,22.0,854.2713567839197,0.46995681365733,733.6683417085428
27,297.15,24.0,889.4472361809046,2.006972331432559,613.0653266331659
27,299.15,26.0,618.0904522613066,0.17519484329432145,457.28643216080405
27,301.15,28.0,366.8341708542714,0.04283001705368849,135.678391959799
27,303.15,30.0,457.28643216080405,-7.640642047778131,105.52763819095479
27,305.15,32.0,1000.0,-0.04973228196425394,793.9698492462312
27,307.15,34.0,1000.0,0.1450590468272525,979.8994974874373
27,309.15,36.0,1000.0,0.4592945295078202,1000.0
27,311.15,38.0,1000.0,-0.29561674326731385,723.6180904522614
27,313.15,40.0,201.00502512562815,0.03236228622300781,201.00502512562815
28,283.15,10.0,1000.0,0.5245428686973526,1000.0
28,285.15,12.0,1000.0,0.6688786482632217,1000.0
